City,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14,Category 15,Category 16,Category 17,Category 18,Category 19,Category 20,Category 21,Category 22,Category 23,Category 24
Girona,1.34,1.59,1.6,1.63,1.65,1.47,3.25,3.17,5,3.72,5,2.04,5,1.37,1.38,1.01,0.72,0.57,0.53,0.52,0.53,0.64,1.65,1.33
Göttingen,1.36,1.61,1.62,1.65,2.05,1.58,3.25,3.17,3.19,3.71,5,2.02,5,1.35,1.37,1,1.41,0.56,0.54,0.53,0.53,0.71,0.9,1.34
Granada,1.37,1.62,1.63,1.66,1.68,1.58,3.25,3.16,3.18,3.7,5,2.01,5,1.31,1.35,0.99,0.99,0.57,0.54,0.53,0.54,0.65,1.68,1.29
Graz,1.39,1.64,1.65,1.67,2.06,1.42,3.25,3.16,4.41,3.69,5,1.99,5,1.29,1.33,0.99,0.99,0.57,0.55,0.54,0.54,0.66,0.93,1.37
Groningen,1.41,1.66,1.66,1.7,1.71,1.61,3.25,3.15,3.18,3.67,5,1.97,5,1.27,1.32,0.99,0.72,0.58,0.56,0.55,0.55,0.68,0.94,1.39
Guimaraes,1.42,1.67,1.68,1.71,1.51,1.81,3.24,3.14,5,3.66,5,1.95,5,1.29,1.3,1.32,0.72,0.58,0.56,0.55,0.56,0.69,0.96,1.41
Gyor,1.44,1.69,1.7,1.73,1.5,1.62,3.24,3.13,3.16,3.64,5,1.93,5,1.27,1.28,0.99,0.95,0.59,0.57,0.56,0.57,0.72,0.98,1.43
Haarlem,1.46,1.71,1.72,1.75,1.63,1.8,3.23,3.13,3.15,3.63,5,1.92,5,1.22,1.28,0.99,0.71,0.6,0.57,0.57,0.57,0.73,1.01,1.44
Halle,1.48,1.72,1.73,1.76,1.62,1.81,3.22,3.12,3.14,3.62,5,1.9,5,1.2,1.26,1.27,0.93,0.61,0.59,0.57,0.58,0.74,1.03,1.46
Hanover,1.5,1.74,1.75,1.78,1.58,1.85,3.22,3.12,3.13,3.6,5,1.88,5,1.18,1.24,1.25,0.92,0.61,0.59,0.58,0.59,0.8,5,1.48
Heidelberg,1.52,1.76,1.77,1.8,1.53,1.81,3.15,3.11,3.14,3.59,5,1.85,5,1.17,1.34,0.94,0.92,0.62,0.6,0.59,0.6,0.73,1.82,1.5
Helsinki,1.54,1.78,1.79,5,1.56,1.85,3.22,3.1,4.35,3.57,5,1.83,5,1.14,1.33,0.92,0.91,0.63,0.61,0.6,0.6,0.75,1.84,1.53
Innsbruck,1.55,1.8,1.81,1.84,1.53,1.86,3.21,3.09,4.35,3.56,5,1.82,5,1.13,1.32,1.2,0.9,0.64,0.61,0.6,0.61,5,1.86,1.54
Jena,1.57,1.82,1.83,5,1.54,1.86,3.21,3.09,4.34,3.54,5,1.79,5,1.11,1.3,1.27,0.89,0.64,0.62,0.61,0.62,5,0.95,1.56
Kalmar,1.59,1.83,1.84,5,1.54,1.9,3.21,3.08,4.33,3.53,5,1.78,5,1.09,1.28,1.28,0.88,0.65,0.63,0.62,0.63,5,0.98,1.42
Karlsruhe,1.61,1.85,1.87,1.9,1.56,1.9,3.21,3.07,4.6,3.51,5,1.75,5,1.07,1.27,1.27,0.88,0.66,0.64,0.63,0.63,5,1,1.6
Kassel,1.64,1.87,1.89,5,1.77,1.88,3.21,3.06,4.58,3.5,5,1.73,5,1.05,1.26,1.25,0.87,0.67,0.65,0.64,0.64,5,1.66,1.62
Kaunas,1.65,1.89,1.9,5,1.79,1.88,3.21,3.06,4.57,3.48,5,1.71,5,1.03,1.25,1.24,0.87,0.67,0.65,0.64,0.65,5,5,1.64
Kiel,1.68,1.91,1.92,2.32,5,1.88,3.21,3.05,5,3.47,5,1.69,5,1.01,1.23,1.23,0.86,0.68,0.66,0.65,0.66,5,1.96,1.57
Klagenfurt,1.7,1.93,1.94,2.34,1.61,1.89,3.22,3.04,5,3.45,5,1.67,5,0.99,1.22,1.21,0.85,0.69,0.67,0.66,0.66,5,5,1.58
Koblenz,1.71,1.95,1.96,1.83,5,2.01,4.08,3.04,5,3.44,5,1.65,5,0.98,1.21,1.2,0.84,0.7,0.67,0.66,0.67,5,2.01,1.6
Krakow,1.74,1.97,1.98,1.84,1.66,2.06,3.2,3.03,5,3.42,5,1.63,5,0.96,1.2,1.19,0.84,0.7,0.68,0.67,0.68,5,5,1.55
La Rochelle,1.76,1.98,1.99,1.86,5,2.1,3.2,3.02,3.04,3.41,4.08,1.61,5,0.94,1.18,1.18,0.83,0.71,0.68,0.68,0.69,5,5,1.65
Lecce,1.78,2,2.02,1.86,5,3.22,3.2,3.01,3.03,3.4,5,1.59,5,5,1.17,1.16,0.84,0.72,0.69,0.69,0.7,5,5,1.59
Leiden,2.03,2.02,2.03,1.87,5,3.22,3.2,3.01,3.03,3.38,5,1.57,5,5,1.16,1.15,1.16,0.72,0.71,0.7,0.7,5,5,1.69
Leipzig,2.05,2.04,2.05,1.88,5,2.2,3.2,3,5,5,5,1.55,5,5,1.15,1.13,1.15,0.73,0.71,0.7,0.71,5,5,1.62
Lille,2.07,2.06,2.07,1.89,5,2.2,4.1,2.99,3.02,5,5,1.53,5,5,1.14,1.12,0.84,0.74,0.72,0.71,0.72,5,5,1.82
Limerick,2.09,2.08,2.09,1.89,5,2.29,3.21,2.99,3,5,4.04,1.51,5,5,1.13,1.11,1.12,0.75,0.72,0.7,0.72,5,1.8,1.57
Ljubljana,2.1,2.1,2.11,1.9,2.27,2.29,3.21,2.98,2.99,3.35,5,1.49,5,5,1.13,1.1,1.11,0.76,0.74,0.7,0.74,5,5,1.59
Lübeck,2.12,2.11,2.13,1.91,2.28,2.3,4.12,2.97,2.99,3.33,4.02,1.47,5,5,1.57,1.09,1.1,0.74,0.72,0.71,0.74,5,1.27,1.7
Lund,2.14,2.13,2.15,1.92,2.29,4.01,4.13,2.96,2.98,3.32,5,1.45,5,5,5,1.08,1.08,0.74,0.72,0.71,0.74,5,1.29,1.72
Luxembourg City,2.16,2.15,2.28,1.93,4.01,3.21,4.13,2.96,2.97,3.29,4.01,1.43,5,5,5,1.07,0.9,0.75,0.73,0.72,0.74,5,2.22,1.73
Lviv,2.18,2.17,2.32,1.92,4,3.2,4.14,2.95,2.97,3.28,5,1.41,5,5,5,1.06,0.88,0.8,0.74,0.73,0.74,0.8,2.22,1.73
Maastricht,2.2,2.19,5,2.02,2.19,4,4.14,2.94,2.96,3.27,4,1.4,5,5,1.06,1.05,0.87,0.8,0.74,0.73,0.75,5,2.25,1.75
Magdeburg,2.22,2.21,5,1.94,2.31,3.2,4.15,2.94,3.24,3.25,3.99,1.38,5,5,1.05,1.04,0.86,0.96,0.75,0.74,0.75,5,5,1.75
Mainz,2.24,2.23,5,1.93,3.98,3.2,4.16,2.93,2.95,3.24,3.99,1.36,5,5,1.04,1.03,0.85,0.91,0.76,0.75,0.76,5,5,1.77
Malaga,2.32,2.25,5,1.86,2.3,3.2,4.16,2.92,2.94,3.21,3.98,1.34,5,5,1.03,1.02,0.84,0.81,0.77,0.76,0.77,5,1.27,1.79
Mantua,2.33,2.27,5,1.88,2.32,3.2,4.17,2.91,2.93,3.2,3.98,1.32,5,1.15,1.02,1.01,0.84,0.85,0.78,0.76,0.77,5,1.29,1.81
Marburg,2.35,2.28,5,1.89,2.32,3.2,4.17,2.91,2.92,3.18,3.96,1.3,5,1.12,1.01,1,0.83,0.93,0.79,0.77,0.78,5,5,1.83
Mechelen,2.37,2.3,2.42,1.9,2.33,3.98,4.18,2.9,2.92,3.17,3.96,1.28,5,1.1,0.64,0.99,0.82,1,0.79,0.78,0.79,5,5,1.85
Modena,2.39,2.32,2.44,1.92,2.34,3.95,2.92,2.89,2.91,3.16,3.96,1.26,5,1.08,0.62,0.98,0.82,0.99,0.84,0.79,0.8,5,5,1.87
Mons,2.41,2.34,5,1.92,2.01,3.19,4.19,2.89,2.9,2.04,3.95,1.24,5,1.06,0.61,0.97,0.82,0.98,0.81,0.79,0.81,5,5,1.89
Montpellier,2.43,2.36,5,1.94,2.01,3.2,4.2,2.88,2.9,2.02,3.95,1.22,5,1.04,0.59,0.96,0.95,0.97,0.8,0.8,0.81,5,5,1.91
Münster,2.45,2.38,5,1.96,2.37,3.92,2.9,2.87,2.89,2.01,3.94,1.2,5,1.02,0.57,0.96,0.94,0.84,0.81,0.81,0.82,5,5,1.93
Namur,2.47,2.4,5,1.97,2.38,3.22,4.21,2.87,2.88,1.99,3.93,1.03,5,1,0.56,0.95,0.91,0.81,0.81,0.81,0.82,5,5,1.95
Nantes,2.48,2.41,5,1.99,3.93,4.12,4.22,2.86,2.87,1.98,3.93,1.01,1,0.99,0.55,0.94,0.91,0.8,0.82,0.82,0.83,5,1.4,1.93
Newcastle,2.22,2.42,5,2,2.37,3.21,2.88,2.86,3.09,3.09,3.94,1.01,0.99,0.98,0.54,0.94,0.92,0.79,0.83,0.82,0.83,5,5,1.92
Norwich,2.2,2.41,5,1.97,2.37,3.9,4.22,2.86,3.47,3.09,3.91,1.01,0.99,0.98,0.55,0.94,0.91,0.78,0.83,0.82,0.84,4.22,5,1.93
Novi Sad,2.2,2.44,5,1.98,2.37,3.9,4.22,2.87,3.48,3.1,3.91,1.01,0.99,0.98,3.48,0.95,0.9,0.78,0.83,0.82,0.84,4.22,5,1.7
Odense,2.19,2.43,5,1.99,2.37,3.91,4.22,2.87,3.48,3.12,3.91,1.01,1,0.98,3.48,0.95,0.91,0.78,0.83,0.81,0.84,4.22,5,1.7
Olomouc,2.19,2.44,5,1.98,2.38,3.91,4.22,2.87,3.48,3.11,3.91,1.01,1,0.98,3.48,0.95,0.91,0.78,0.83,0.82,0.84,4.22,5,1.6
Osnabrück,2.19,2.44,5,1.98,2.38,3.91,4.22,2.87,3.48,3.11,3.91,1.01,1,0.98,3.48,0.96,0.91,0.78,0.83,0.82,0.84,4.22,5,1.7
Padua,2.2,2.45,5,1.99,2.39,3.9,4.22,2.87,3.48,3.11,3.91,1.01,0.99,0.98,3.48,0.94,0.91,0.78,0.83,0.82,0.84,4.22,5,1.7
Pavia,2.2,2.42,2.52,1.99,2.39,3.9,4.22,2.87,3.48,3.11,3.9,1.01,0.99,0.98,3.48,0.94,0.91,0.78,0.83,0.82,0.84,4.22,5,1.61
Perugia,2.2,2.47,2.52,1.99,2.39,3.9,4.22,2.86,3.48,3.11,3.91,1.01,0.99,0.98,3.48,0.94,0.92,0.78,0.84,0.82,0.85,4.22,5,1.61
Pescara,2.2,2.42,2.52,2,2.39,3.9,4.22,2.86,3.48,3.11,3.91,1.01,0.99,0.98,3.48,0.94,0.92,0.78,0.84,0.82,0.84,4.22,5,1.61
Pilsen,2.2,2.42,2.52,2.02,2.39,3.9,4.22,2.86,3.48,3.11,3.91,1.01,0.99,0.98,3.48,0.95,0.91,0.78,0.84,0.82,0.84,4.22,5,1.7
Plovdiv,2.2,2.42,2.53,2.01,2.39,3.9,4.22,2.86,3.47,3.1,3.91,1.01,0.99,0.98,3.47,0.95,0.91,0.78,0.84,0.82,0.86,4.22,5,1.71
Tirana,2.2,2.42,2.53,2.01,2.39,3.9,4.22,2.86,3.47,3.1,3.91,1.01,0.99,0.98,3.47,0.95,0.92,0.78,0.84,0.82,0.86,4.22,5,1.71
Durres,2.21,2.47,2.53,2.01,2.39,3.9,4.22,2.87,3.47,3.1,3.91,1.01,0.99,0.97,3.48,0.94,0.92,0.78,0.84,0.82,0.86,4.22,5,1.71
Vlore,2.21,2.49,5,2.01,2.39,3.9,4.22,2.87,3.47,3.1,3.91,1,0.98,0.97,3.47,0.94,0.92,0.78,0.94,0.82,0.86,4.22,5,1.62
Shkoder,2.21,2.43,5,2.02,2.39,3.9,4.22,2.86,3.47,3.1,3.91,1,0.98,0.97,3.47,0.94,0.92,0.78,0.94,0.82,0.86,4.22,5,1.62
Berat,2.22,2.44,2.55,2.01,2.39,3.9,4.23,2.86,3.46,3.1,3.9,0.99,0.97,0.96,0.97,0.94,0.92,0.78,0.94,0.83,0.84,4.23,5,1.63
Andorra la Vella,2.23,2.45,2.56,2.01,2.39,3.89,4.23,2.86,3.46,3.09,5,0.99,0.96,0.95,1.53,0.93,0.92,0.78,0.94,0.83,0.84,4.23,5,1.64
Vienna,2.24,2.48,5,2.01,2.39,3.89,4.23,2.85,3.45,3.07,3.91,0.97,0.95,0.94,0.95,0.93,0.91,0.77,0.93,0.84,0.85,4.23,5,2.25
Salzburg,2.26,2.52,2.56,2.03,2.4,3.91,4.24,2.84,3.44,3.06,3.88,0.96,0.94,0.92,0.95,0.93,0.91,0.78,0.92,0.85,0.86,4.24,5,1.67
Innsbruck,2.27,2.51,2.56,2.04,2.4,3.91,4.24,2.84,3.43,3.05,3.88,0.95,0.93,0.91,1.48,0,0.9,0.77,0.92,0.85,0.87,4.24,5,1.69
Graz,2.29,2.52,5,2.05,2.41,3.87,4.25,2.83,3.42,3.04,3.87,0.93,0.91,0.9,0.92,0,0.9,0.77,0.92,0.83,0.92,4.25,5,1.68
Linz,2.31,2.53,5,2.06,2.42,3.86,4.25,2.82,2.86,3.03,3.87,0.92,0.9,0.88,0.9,0,0.9,0.78,0.91,0.83,0.89,4.25,5,2.32
Klagenfurt,2.33,2.54,5,2.07,2.43,3.85,4.26,2.81,3.02,3.01,3.86,0.9,0.88,0.86,0.88,0,0.9,0.78,1.25,0.84,5,4.26,5,1.76
Bregenz,2.34,2.56,2.64,2.08,2.1,3.84,4.27,2.81,3.38,2.99,5,0.89,0.86,0.85,0.86,0,0.9,0.78,0.78,0.85,0.91,4.26,5,2.35
Villach,2.36,2.57,5,2.16,5,3.84,4.27,2.8,2.83,3.01,5,0.87,0.85,0.83,0.84,0,0.89,0.86,0.78,0.85,0.94,4.27,5,5
Wels,2.38,2.59,2.66,2.09,2.12,3.83,2.82,2.79,2.81,3.38,5,0.86,0.83,0.82,0.83,0,0.89,0.85,0.78,0.86,0.91,4.28,5,5
St. Pölten,2.39,2.6,5,2.11,5,3.83,4.29,2.78,2.8,2.82,5,0.85,0.82,0.8,0.81,0,0.89,0.8,0.77,0.87,0.91,4.28,5,5
Minsk,2.4,2.61,5,2.11,5,3.82,4.29,2.78,2.79,2.8,5,0.84,0.81,0.79,0.8,0.91,0.89,0.79,0.77,0.91,0.92,5,1.27,1.66
Brest,2.4,2.64,2.63,2.12,2.48,3.82,4.29,2.78,2.79,2.8,5,5,0.84,0.79,0.79,2.17,0.89,0.78,0.77,1.02,0.92,5,1.27,1.63
Hrodna,2.4,2.62,2.62,2.13,5,3.82,4.29,2.78,2.78,2.8,5,5,0.84,0.79,0.79,0.82,0.88,0.78,0.77,0.93,0.91,5,1.27,1.6
Mahilyow,2.4,2.62,2.61,2.11,5,3.82,5,2.79,2.79,2.8,3.84,5,0.86,0.8,0.79,0.81,0.89,0.79,0.77,1,0.91,5,1.28,1.6
Vitebsk,2.39,2.61,2.61,2.63,5,3.82,5,2.79,2.79,2.8,3.85,3.84,0.87,0.8,0.79,0.81,0.89,0.79,0.77,0.92,0.91,5,1.28,1.6
Brussels,2.39,2.61,2.61,2.12,5,3.82,5,2.79,2.79,2.8,5,3.84,0.86,0.8,0.79,0.81,0.89,0.79,0.77,0.9,0.91,5,1.28,1.59
Antwerp,2.4,2.62,2.61,2.11,5,3.82,5,2.79,2.79,2.8,2.17,3.84,0.86,0.8,0.79,0.81,0.89,0.79,0.77,0.89,0.91,5,5,1.59
Ghent,2.4,2.62,2.61,2.13,5,3.83,5,2.79,2.79,2.8,2.17,3.84,5,0.81,0.79,0.81,0.89,0.78,0.77,0.89,0.91,5,1.28,1.6
Bruges,2.39,5,2.61,2.63,5,3.83,5,5,2.79,2.8,1.81,5,0.85,0.85,0.79,0.81,0.89,0.78,0.76,0.89,0.91,5,2.9,1.6
Liège,2.09,5,2.61,2.63,5,3.83,5,5,2.79,2.8,1.81,3.83,0.97,0.9,0.79,0.8,0.89,0.79,0.77,0.89,0.91,5,5,1.6
Charleroi,2.4,5,2.61,2.63,5,3.83,5,5,2.79,2.8,1.81,3.84,0.97,0.91,0.79,0.8,0,0.79,0.77,0.89,0.91,5,5,5
Leuven,2.4,5,2.61,2.13,5,3.83,5,5,2.79,2.8,1.81,3.84,0.97,0.8,0.79,0.8,0,0.88,0.77,0.88,0.91,5,1.17,1.6
Namur,2.09,5,2.61,2.62,2.22,3.83,5,5,2.79,2.8,1.81,3.84,0.96,0.8,0.79,0.8,0,0.88,0.87,0.88,0.91,5,1.17,5
Mons,2.09,2.85,2.61,2.62,2.21,3.83,3.84,5,2.79,2.81,1.81,3.84,0.83,0.8,0.79,0.8,0,0.87,0.87,0.88,0.91,5,1.17,5
Sarajevo,1.98,5,2.61,2.62,2.19,3.83,3.83,5,2.79,2.81,1.81,3.83,0.82,0.8,0.79,0.8,0,0.87,0.87,0.88,0.86,0.94,1.14,5
Banja Luka,1.98,2.84,2.61,2.62,2.19,3.84,3.83,2.8,2.79,2.82,1.81,3.84,0.83,0.8,0.79,0.79,0,0.87,0.86,0.77,0.86,0.94,5,5
Tuzla,1.72,2.41,2.61,2.63,2.19,3.84,3.83,2.8,2.8,2.81,1.81,3.84,0.97,0.8,0.79,0.79,0,0.87,0.84,0.76,0.85,0.91,5,5
Zenica,1.6,2.4,2.62,5,2.21,2.14,3.83,2.81,2.8,2.8,5,3.84,0.97,0.8,0.79,0.8,0,0.87,0.78,0.75,0.85,0.91,4.3,5
Mostar,1.59,2.4,2.62,5,2.13,2.48,3.83,2.82,2.8,2.8,3,0.88,5,0.8,0.79,0.79,0,0.88,0.83,0.75,0.85,0.9,0.92,5
Sofia,1.59,2.4,2.64,2.65,2.13,2.14,3.84,2.82,2.8,2.8,2.99,0.88,5,0.81,0.79,0.79,1.38,0.87,0.77,0.75,0.89,0.9,4.29,5
Plovdiv,1.59,2.4,2.63,2.62,2.14,2.49,3.84,4.29,2.81,2.8,2.82,5,5,5,0.78,0.78,1.42,0.87,0.86,0.75,0.89,0.9,0.92,5
Varna,1.59,2.4,2.63,2.62,5,5,3.84,4.3,2.81,2.8,2.82,5,5,5,0.79,0.78,2.17,0.87,0.77,0.74,0.87,0.9,5,5
Burgas,1.48,2.4,5,2.62,2.64,2.22,3.85,5,2.82,2.8,2.82,1.82,3.85,5,5,0.78,0.8,0.86,0.86,0.75,0.87,0.9,0.93,5
Ruse,1.62,2.41,5,2.62,2.64,2.21,3.85,5,2.83,2.8,2.82,1.82,0.84,5,0.81,0.78,0.79,0,0.85,0.75,0.86,0.92,0.91,5
Zagreb,1.32,2.42,3.59,2.62,2.64,2.21,3.86,3.85,5,2.8,2.82,1.81,3.85,0.97,0.79,0.78,0.79,0,0.85,0.85,0.86,0.85,0.9,5
Split,1.35,2.41,5,2.63,2.64,2.21,5,3.85,2.82,2.8,2.83,1.81,3.85,0.97,0.79,0.78,0.78,0,0.85,0.84,0.86,0.85,0.92,5
Rijeka,1.35,2.41,2.42,2.63,2.64,2.21,5,3.84,2.83,2.8,2.83,1.81,5,0.97,0.79,0.77,0.78,0,0.85,0.82,0.86,0.84,0.9,5
Osijek,1.28,2.42,2.42,2.63,2.64,2.22,5,3.84,2.83,2.81,3,1.81,5,5,0.79,0.77,0.78,0,0.85,0.82,0.85,0.85,0.9,5
Zadar,1.35,2.42,2.41,2.62,5,2.15,5,3.84,2.83,2.81,3,1.81,5,5,0.79,0.77,0.78,0,0.89,0.82,0.86,1.1,0.9,5
Nicosia,1.27,2.43,2.41,2.63,5,2.14,5,3.84,2.82,2.81,2.99,1.81,5,5,0.79,0.77,0.78,0,0.86,0.81,0.86,1.1,0.89,5
Limassol,5,5,2.41,2.63,5,2.22,5,3.84,2.83,2.81,2.99,1.82,3.85,5,0.79,0.77,0.78,0,0.87,0.81,0.75,1.1,0.89,5
Larnaca,1.27,5,2.41,2.63,5,2.21,5,3.84,2.83,2.81,2.83,1.82,3.85,5,0.79,0.77,0.78,0,0.86,0.76,0.74,1.1,0.89,5
Paphos,5,1.6,2.41,2.63,5,2.18,5,3.84,5,2.81,2.82,1.82,3.85,5,0.79,0.77,0.78,0,0.85,0.75,0.73,1.1,0.89,5
Prague,1.27,1.71,2.41,2.63,2.65,2.14,5,3.84,4.31,2.81,2.81,2.99,3.85,5,0.79,0.77,0.78,0,0.85,0.75,0.73,1.1,0.89,4.3
Brno,5,5,2.41,2.64,2.65,2.14,2.22,3.84,4.31,2.81,2.81,3,3.85,5,0.79,0.77,0.78,0,0.85,0.75,0.73,1.11,0.88,5
Ostrava,2.91,1.6,2.41,2.64,5,2.15,2.22,3.84,2.84,2.82,2.82,1.82,3.85,5,0.79,0.77,0.77,0.88,0.85,0.75,0.73,1.18,0.88,5
Plzen,2.91,1.61,2.41,2.7,2.64,2.15,2.24,3.85,2.84,2.82,2.82,2.83,1.83,5,0.8,0.77,0.77,0.87,0.85,0.74,0.73,0.86,0.89,5
Liberec,1.18,1.63,2.41,2.65,2.64,5,5,3.85,5,2.83,2.82,2.83,2.17,5,0.81,0.78,0.77,0.87,0.85,0.84,0.73,0.85,0.89,5
Copenhagen,1.17,5,2.41,2.7,2.64,2.15,2.22,3.85,5,5,2.81,2.83,1.82,5,5,0.77,0.76,0.87,0.85,0.84,0.73,0.85,0.87,0.9
Aarhus,1.51,5,2.14,2.71,2.64,5,2.16,3.85,5,5,2.81,2.82,1.82,3.86,5,0.77,0.76,0.78,0,0.84,0.73,0.85,0.84,0.9
Odense,1.08,5,2.11,2.72,2.64,2.66,2.24,3.85,5,2.83,2.81,2.82,1.82,3.85,5,0.77,0.76,0.78,0,0.84,0.73,0.84,0.83,0.89
Aalborg,1.09,5,2,5,2.64,2.65,2.24,3.85,5,2.83,2.81,2.83,1.82,3.86,5,0.77,0.76,0.77,0,0.84,0.73,0.85,0.83,0.89
Esbjerg,1.08,5,2.42,2.72,2.64,2.65,2.24,2.71,5,2.83,2.81,2.83,1.81,3.86,5,0.77,0.76,0.77,0,0.84,0.83,0.85,0.83,0.89
Tallinn,1.09,5,2,2.43,2.64,2.66,5,3.85,5,2.82,2.81,2.82,1.81,3.86,5,0.77,0.76,0.77,0,0.84,0.83,0.74,0.83,0.89
Tartu,1.08,5,2.42,5,2.64,2.65,5,3.85,5,2.82,2.81,2.82,1.81,3.86,5,0.77,0.76,0.77,0,0.84,0.74,0.74,0.83,0.89
Narva,1.08,5,2,2.43,2.64,2.65,2.16,3.85,5,2.82,2.81,2.82,1.81,3.86,5,0.77,0.76,0.77,0,0.84,0.74,0.74,0.83,0.89
Pärnu,1.09,5,2,2.43,2.64,2.65,2.24,3.85,5,2.82,2.81,2.83,1.81,5,5,0.77,0.76,0.77,0,0.83,0.83,0.74,0.83,0.89
Helsinki,1.18,5,2,5,2.65,2.65,2.17,2.26,5,2.82,2.81,2.83,1.81,3.86,5,0.77,0.76,0.77,0,0.84,0.83,0.74,0.83,0.89
Tampere,1.18,5,2.42,2.43,2.65,2.66,2.24,3.85,5,2.82,2.81,2.83,1.81,3.85,0.96,0.77,0.76,0.77,0,0.84,0.83,1.21,0.84,0.9
Turku,1.18,5,2,2.43,2.64,2.66,2.24,3.85,5,2.82,2.81,2.82,1.81,3.85,5,0.77,0.76,0.77,0,0.84,0.83,0.74,0.84,0.89
Oulu,5,5,2,2.44,2.65,2.66,5,3.85,5,2.82,2.8,2.98,1.81,3.84,0.96,0.77,0.75,0.76,0,0.84,0.83,1.22,0.84,0.91
Jyväskylä,1.1,5,2.43,2.44,2.65,2.66,2.25,2.86,5,2.81,2.8,2.97,1.8,3.84,5,0.76,0.75,0.76,0,0.84,0.83,1.22,0.85,0.91
Paris,5,5,2.44,2.44,2.65,2.66,2.23,3.84,5,2.81,2.79,2.96,1.79,3.83,0.94,0.76,0.75,0.76,0,0.85,0.84,0.75,0.85,0.92
Marseille,1.3,5,1.95,2.45,2.66,2.66,2.16,2.17,5,2.8,2.79,2.95,1.78,3.83,0.93,0.76,0.75,0.75,0,0.85,0.82,0.75,0.86,0.92
Lyon,5,5,1.96,2.45,2.66,2.67,2.24,3.83,5,2.79,2.78,2.98,1.78,3.83,0.92,0.75,0.74,0.75,0.88,0.86,0.82,0.75,0.87,0.93
Toulouse,1.13,5,2.46,2.46,2.66,2.68,5,3.82,5,2.78,2.77,2.78,1.77,3.82,0.91,0.75,0.74,0.75,0.88,0.86,0.77,0.76,0.89,0.93
Nice,1.14,5,2.46,2.46,2.67,2.68,2.23,2.16,5,2.78,2.76,2.77,1.76,5,0.91,0.75,0.73,0.74,0.89,0.87,0.77,0.76,0.88,0.94
Nantes,1.15,5,2.47,2.47,2.67,2.69,2.24,2.16,5,2.77,2.76,2.76,1.75,5,0.9,0.74,0.73,0.74,0.76,0.88,0.83,0.77,1.01,0.95
Strasbourg,1.16,5,2.48,2.48,2.67,5,2.18,2.15,5,2.76,2.74,2.75,1.74,5,0.9,0.74,0.73,0.73,0.75,0.88,0.84,0.78,0.9,0.96
Montpellier,1.37,1.36,2.49,2.49,2.68,2.76,2.23,2.15,5,2.75,2.73,2.74,1.73,5,5,0.73,0.72,0.75,0.75,0,0.8,0.79,0.9,0.97
Bordeaux,0.97,1.37,2.51,2.5,2.68,2.75,2.16,2.14,5,2.74,2.72,2.72,2.87,3.78,5,0.73,0.72,0.73,0.75,0,0.8,0.8,0.91,0.99
Lille,0.97,5,5,2.51,2.69,2.76,2.16,2.14,5,5,2.71,2.71,2.09,5,5,0.73,0.71,0.72,0.75,0,0.82,0.82,0.91,0.95
Berlin,0.97,5,5,2.52,2.7,2.71,2.18,5,5,2.71,2.69,2.69,2.84,5,5,0.72,0.71,0.71,0.73,0,0.83,0.84,0.92,0.95
Hamburg,0.97,1.41,5,2.53,2.7,5,2.16,2.75,3.75,2.7,2.68,2.68,2.85,5,5,0.72,0.7,0.7,0.73,0,0.84,0.92,0.93,0.96
Munich,0.98,5,1.86,2.54,2.71,2.72,5,5,3.74,2.69,2.67,2.67,2.84,5,5,0.72,0.7,0.7,0.72,0.94,0.93,0.92,0.94,0.96
